,1,2,3,4
145,Botswana,Africa,Southern Africa,2250260
146,Lesotho,Africa,Southern Africa,2203821
147,The Gambia,Africa,Western Africa,2038501
148,Republic of Macedonia,Europe,Southern Europe,2081206
149,Slovenia,Europe,Southern Europe,2077862
150,Gabon,Africa,Middle Africa,1979786
151,Latvia,Europe,Northern Europe,1970530
152,Guinea-Bissau,Africa,Western Africa,1815698
153,Bahrain,Asia,Western Asia,1425171
154,Trinidad and Tobago,Americas,Caribbean,1364962
155,Eswatini (Swaziland),Africa,Southern Africa,1343098
156,Estonia,Europe,Northern Europe,1312442
157,East Timor,Asia,South-eastern Asia,1268671
158,Equatorial Guinea,Africa,Middle Africa,1221490
159,Mauritius,Africa,Eastern Africa,1262132
160,Cyprus,Asia,Western Asia,1170125
161,Djibouti,Africa,Eastern Africa,942333
162,Fiji,Oceania,Melanesia,898760
163,Réunion,Africa,Eastern Africa,869925
164,Comoros,Africa,Eastern Africa,795601
165,Bhutan,Asia,Southern Asia,797765
166,Guyana,Americas,South America,773303
167,Montenegro,Europe,Southern Europe,628615
168,Macau,Asia,Eastern Asia,612167
169,Solomon Islands,Oceania,Melanesia,599419
170,Luxembourg,Europe,Western Europe,575747
171,Suriname,Americas,South America,558368
172,Western Sahara,Africa,Northern Africa,538755
173,Cape Verde,Africa,Western Africa,539560
174,Guadeloupe,Americas,Caribbean,449975
175,Maldives,Asia,Southern Asia,427756
176,Malta,Europe,Southern Europe,429362
177,Brunei,Asia,South-eastern Asia,423196
178,Bahamas,Americas,Caribbean,391232
179,Martinique,Americas,Caribbean,385103
180,Belize,Americas,Central America,366954
181,Iceland,Europe,Northern Europe,332474
182,Barbados,Americas,Caribbean,284996
183,French Polynesia,Oceania,Polynesia,280208
184,French Guiana,Americas,South America,275713
185,New Caledonia,Oceania,Melanesia,272677
186,Vanuatu,Oceania,Melanesia,270402
187,Mayotte,Africa,Eastern Africa,246489
188,Sao Tome and Principe,Africa,Middle Africa,199910
189,Samoa,Oceania,Polynesia,195125
190,Saint Lucia,Americas,Caribbean,178015
191,Guernsey and Jersey,Europe,Northern Europe,164541
192,Guam,Oceania,Micronesia,162896
193,Curaçao,Americas,Caribbean,159371
194,Kiribati,Oceania,Micronesia,114395
195,Saint Vincent and the Grenadines,Americas,Caribbean,109643
196,Tonga,Oceania,Polynesia,107122
197,Grenada,Americas,Caribbean,107317
198,Federated States of Micronesia,Oceania,Micronesia,104937
199,Aruba,Americas,Caribbean,104822
200,United States Virgin Islands,Americas,Caribbean,104913
201,Antigua and Barbuda,Americas,Caribbean,100963
202,Seychelles,Africa,Eastern Africa,94228
203,Isle of Man,Europe,Northern Europe,83737
204,Andorra,Europe,Southern Europe,77281
205,Dominica,Americas,Caribbean,73543
206,Cayman Islands,Americas,Caribbean,60765
